scenario_num, attack_strength, time_interval_threshold(ms), tp, tn, fp, fn, accuracy, precision, recall, false_alarm_rate, f1_score
3, 5, 4, 7783, 23976, 3, 0, 0.999811, 0.999615, 1.000000, 0.000125, 0.999807
3, 5, 5, 7783, 23976, 3, 0, 0.999811, 0.999615, 1.000000, 0.000125, 0.999807
3, 5, 6, 7783, 23976, 3, 0, 0.999811, 0.999615, 1.000000, 0.000125, 0.999807
3, 5, 7, 7783, 23976, 3, 0, 0.999811, 0.999615, 1.000000, 0.000125, 0.999807
3, 5, 8, 7783, 23976, 3, 0, 0.999811, 0.999615, 1.000000, 0.000125, 0.999807
3, 6, 1, 15691, 19417, 12, 0, 0.999317, 0.999236, 1.000000, 0.000618, 0.999618
3, 6, 2, 15691, 19418, 11, 0, 0.999374, 0.999299, 1.000000, 0.000566, 0.999650
3, 6, 3, 15691, 19418, 11, 0, 0.999374, 0.999299, 1.000000, 0.000566, 0.999650
3, 6, 4, 15691, 19418, 11, 0, 0.999374, 0.999299, 1.000000, 0.000566, 0.999650
3, 6, 5, 15691, 19418, 11, 0, 0.999374, 0.999299, 1.000000, 0.000566, 0.999650
3, 6, 6, 15691, 19418, 11, 0, 0.999374, 0.999299, 1.000000, 0.000566, 0.999650
3, 6, 7, 15691, 19418, 11, 0, 0.999374, 0.999299, 1.000000, 0.000566, 0.999650
3, 6, 8, 15691, 19418, 11, 0, 0.999374, 0.999299, 1.000000, 0.000566, 0.999650
3, 7, 1, 30943, 19331, 14, 0, 0.999443, 0.999548, 1.000000, 0.000724, 0.999774
3, 7, 2, 30943, 19332, 13, 0, 0.999483, 0.999580, 1.000000, 0.000672, 0.999790
3, 7, 3, 30943, 19332, 13, 0, 0.999483, 0.999580, 1.000000, 0.000672, 0.999790
3, 7, 4, 30943, 19332, 13, 0, 0.999483, 0.999580, 1.000000, 0.000672, 0.999790
3, 7, 5, 30943, 19332, 13, 0, 0.999483, 0.999580, 1.000000, 0.000672, 0.999790
3, 7, 6, 30943, 19332, 13, 0, 0.999483, 0.999580, 1.000000, 0.000672, 0.999790
3, 7, 7, 30943, 19332, 13, 0, 0.999483, 0.999580, 1.000000, 0.000672, 0.999790
3, 7, 8, 30943, 19332, 13, 0, 0.999483, 0.999580, 1.000000, 0.000672, 0.999790
3, 8, 1, 288853, 19197, 127, 0, 0.999176, 0.999561, 1.000000, 0.006572, 0.999780
3, 8, 2, 288853, 19198, 126, 0, 0.999183, 0.999564, 1.000000, 0.006520, 0.999782
3, 8, 3, 288853, 19200, 124, 0, 0.999196, 0.999571, 1.000000, 0.006417, 0.999785
3, 8, 4, 288853, 19201, 123, 0, 0.999202, 0.999574, 1.000000, 0.006365, 0.999787
3, 8, 5, 288853, 19202, 122, 0, 0.999209, 0.999578, 1.000000, 0.006313, 0.999789
3, 8, 6, 288853, 19202, 122, 0, 0.999209, 0.999578, 1.000000, 0.006313, 0.999789
3, 8, 7, 288853, 19202, 122, 0, 0.999209, 0.999578, 1.000000, 0.006313, 0.999789
3, 8, 8, 288853, 19202, 122, 0, 0.999209, 0.999578, 1.000000, 0.006313, 0.999789
4, 1, 1, 309, 19233, 4, 0, 0.999591, 0.987220, 1.000000, 0.000208, 0.993569
4, 1, 2, 309, 19235, 2, 0, 0.999795, 0.993569, 1.000000, 0.000104, 0.996774
4, 1, 3, 309, 19236, 1, 0, 0.999898, 0.996774, 1.000000, 0.000052, 0.998384
4, 1, 4, 309, 19236, 1, 0, 0.999898, 0.996774, 1.000000, 0.000052, 0.998384
4, 1, 5, 309, 19236, 1, 0, 0.999898, 0.996774, 1.000000, 0.000052, 0.998384
4, 1, 6, 309, 19236, 1, 0, 0.999898, 0.996774, 1.000000, 0.000052, 0.998384
4, 1, 7, 309, 19237, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 1, 8, 309, 19237, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 1, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 2, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 3, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 4, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 5, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 6, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 7, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 2, 8, 611, 19117, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 3, 1, 1649, 20186, 3, 0, 0.999725, 0.998184, 1.000000, 0.000149, 0.999091
4, 3, 2, 1649, 20187, 2, 0, 0.999817, 0.998789, 1.000000, 0.000099, 0.999394
4, 3, 3, 1649, 20187, 2, 0, 0.999817, 0.998789, 1.000000, 0.000099, 0.999394
4, 3, 4, 1649, 20187, 2, 0, 0.999817, 0.998789, 1.000000, 0.000099, 0.999394
4, 3, 5, 1649, 20187, 2, 0, 0.999817, 0.998789, 1.000000, 0.000099, 0.999394
4, 3, 6, 1649, 20187, 2, 0, 0.999817, 0.998789, 1.000000, 0.000099, 0.999394
4, 3, 7, 1649, 20187, 2, 0, 0.999817, 0.998789, 1.000000, 0.000099, 0.999394
4, 3, 8, 1649, 20187, 2, 0, 0.999817, 0.998789, 1.000000, 0.000099, 0.999394
4, 4, 1, 3131, 19331, 3, 0, 0.999733, 0.999043, 1.000000, 0.000155, 0.999521
4, 4, 2, 3131, 19332, 2, 0, 0.999822, 0.999362, 1.000000, 0.000103, 0.999681
4, 4, 3, 3131, 19332, 2, 0, 0.999822, 0.999362, 1.000000, 0.000103, 0.999681
4, 4, 4, 3131, 19332, 2, 0, 0.999822, 0.999362, 1.000000, 0.000103, 0.999681
4, 4, 5, 3131, 19332, 2, 0, 0.999822, 0.999362, 1.000000, 0.000103, 0.999681
4, 4, 6, 3131, 19332, 2, 0, 0.999822, 0.999362, 1.000000, 0.000103, 0.999681
4, 4, 7, 3131, 19332, 2, 0, 0.999822, 0.999362, 1.000000, 0.000103, 0.999681
4, 4, 8, 3131, 19332, 2, 0, 0.999822, 0.999362, 1.000000, 0.000103, 0.999681
4, 5, 1, 6372, 19516, 1, 0, 0.999923, 0.999843, 1.000000, 0.000051, 0.999922
4, 5, 2, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 3, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 4, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 5, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 6, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 7, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 5, 8, 6372, 19517, 0, 0, 1.000000, 1.000000, 1.000000, 0.000000, 1.000000
4, 6, 1, 15890, 19519, 4, 0, 0.999774, 0.999748, 1.000000, 0.000205, 0.999874
4, 6, 2, 15890, 19519, 4, 0, 0.999774, 0.999748, 1.000000, 0.000205, 0.999874
4, 6, 3, 15890, 19519, 4, 0, 0.999774, 0.999748, 1.000000, 0.000205, 0.999874
4, 6, 4, 15890, 19519, 4, 0, 0.999774, 0.999748, 1.000000, 0.000205, 0.999874
4, 6, 5, 15890, 19519, 4, 0, 0.999774, 0.999748, 1.000000, 0.000205, 0.999874
4, 6, 6, 15890, 19519, 4, 0, 0.999774, 0.999748, 1.000000, 0.000205, 0.999874
4, 6, 7, 15890, 19519, 4, 0, 0.999774, 0.999748, 1.000000, 0.000205, 0.999874
4, 6, 8, 15890, 19519, 4, 0, 0.999774, 0.999748, 1.000000, 0.000205, 0.999874
4, 7, 1, 32526, 19794, 12, 0, 0.999541, 0.999631, 1.000000, 0.000606, 0.999816
4, 7, 2, 32526, 19795, 11, 0, 0.999580, 0.999662, 1.000000, 0.000555, 0.999831
4, 7, 3, 32526, 19795, 11, 0, 0.999580, 0.999662, 1.000000, 0.000555, 0.999831
4, 7, 4, 32526, 19796, 10, 0, 0.999618, 0.999693, 1.000000, 0.000505, 0.999846
4, 7, 5, 32526, 19796, 10, 0, 0.999618, 0.999693, 1.000000, 0.000505, 0.999846
4, 7, 6, 32526, 19796, 10, 0, 0.999618, 0.999693, 1.000000, 0.000505, 0.999846
4, 7, 7, 32526, 19796, 10, 0, 0.999618, 0.999693, 1.000000, 0.000505, 0.999846
4, 7, 8, 32526, 19796, 10, 0, 0.999618, 0.999693, 1.000000, 0.000505, 0.999846
4, 8, 1, 292802, 19493, 72, 0, 0.999539, 0.999754, 1.000000, 0.003680, 0.999877
4, 8, 2, 292802, 19497, 68, 0, 0.999565, 0.999768, 1.000000, 0.003476, 0.999884
4, 8, 3, 292802, 19499, 66, 0, 0.999578, 0.999775, 1.000000, 0.003373, 0.999887
4, 8, 4, 292802, 19499, 66, 0, 0.999578, 0.999775, 1.000000, 0.003373, 0.999887
4, 8, 5, 292802, 19499, 66, 0, 0.999578, 0.999775, 1.000000, 0.003373, 0.999887
4, 8, 6, 292802, 19499, 66, 0, 0.999578, 0.999775, 1.000000, 0.003373, 0.999887
4, 8, 7, 292802, 19499, 66, 0, 0.999578, 0.999775, 1.000000, 0.003373, 0.999887
4, 8, 8, 292802, 19500, 65, 0, 0.999584, 0.999778, 1.000000, 0.003322, 0.999889
